School Name,Instagram ID (5-6),Abbreviation (keyword that bot will detect in people's bio),Max follow per school (school population / 3)
Woodbridge HS,"woodbridge_hs, woodbridge_ptsa, woodbridge_warriors, woodbridge_ice_hockey, whstrack_, warriors_whs","whs, WHS, woodbridge, Woodbridge",650
Arnold O. Beckman HS,,,
Fountain Valley HS,"fvhs_athletics, fvhsfca, fvhssurf, fvhs.crosscountry, fountainvalleycolorguard","fvhs, FVHS, Fountain Valley, fountain valley",1043
Santa Monica HS,"samohi.surfteam, samoclass27, samoclass26","samo, Samo, Santa Monica, santa monica, samohi, smhs, Smhs",857
El Segundo HS,,,
West Ranch HS,,,
Walnut HS,"walnuthigh_asb, walnut_mustangs, whsbluethunderband, whs.mustangathletics, walnutfbla, walnutfootball","whs, walnut",713
Crescenta Valley HS,,,
Mark Keppel HS,,,
Valencia HS,,,
Gabrielino HS,"gabrielino_peer_helping, gabrielinobaseball, gab_hs_music, gabrielino_baseball, gemr_brass, ghs.crochet.club","ghs, Ghs, ",494
Mira Costa HS,"mchsdramatechdepartment, mchs.girlsgolf, mchsbands, miracosta_girlsflag, costaboyswp","mchs, Mchs, MCHS",830
Monta Vista HS,"montavistawaterpolo, mvhstunt, montavistaptca, mvhs28, mvphyseng","mvhs, MVHS, Mvhs",
Walter Payton College Preparatory HS,,,
Northside College Preparatory HS,,,
Whitney M. Young Magnet HS,,,
Jones College Prep HS,,,
Adlai E Stevenson HS,,,
Hinsdale Central HS,,,
Vernon Hills HS,,,
Neuqua Valley HS,,,
New Trier Township HS,newtrierhs_santa,"NT, NTHS",
William Fremd HS,fremdhs_santa,"wfhs, ",
John Hersey HS,,,
Lake Forest HS,,,
Deerfield HS,,,
Glenbrook North HS,,,
Libertyville HS,,,
Naperville Central HS,,,
Barrington HS,,,
Maine South HS,,,
Munster HS,,,
Prospect HS,,,
Naperville North HS,,,
Glenbard West HS,,,
Highland Park HS,,,
Metea Valley HS,,,
Oak Park and River Forest HS,,,
Phillips Academy Andover,,,
Phillips Exeter Academy,"phillipsexeter, phillipsexeterdance, phillipsacademy, exetergirlslacrosse, exeterfieldhockey, pea_lib","pea, Exeter, PEA",368
Harvard-Westlake School,"hwgirslwaterpolo, hw_surfclub, hwfanatics, hwfieldhockey, hwspirit, hwbaseball","Harvard-Westlake , harvard-westlake, HW, hw, westlake",540
The Pingry School,"pg_waterpolo, __pg.xc__, pingry_summer, pingry_outing_club, pingryschoolhonorboard, pingryjournalclub","Pingry, pingry, tps",400
St. John's School,,,
Rye Country Day School,"ryecountryday, ryecountrydayschool, rcdsfilmclub, rcdsprom2025, rye_country_day_mun, rcdsathletics","RCDS, rcds, Rye Country Day School, Rye Country",300
Horace Mann School,"horace_mann_trojans, hmalumni, hmcstigers6, horacemannschoolnyc, horacemanncoco, horacemannlions","Horace Mann, horace mann, hm, HM",592
Trinity School,"trinityschoolnyc, voice_of_trinity, trinityschoolcollegeoffice","trinity, Trinity, nyc, ts",333
Sidwell Friends School,"sidwellfriends, sidwell_tf, sidwellsummer, sidwellfriendslibrary, sfsquackers","Sidwell, Sfs, sidwell",380
The John Cooper School,"cooper_dupuis21, thejohncooperschoolclumni, jcdragonxc, jcs_boysbball, cooper_varsity_boys_soccer, jcs.finearts, andres_valenzuelav","jcs, JCS, Jcs, cooper",459
Berkeley Preparatory School,"bpsredcrossclub, berkxctf, bps_rowing, alessandraverfailie, bps_varcity_soccer, berkelyprepalumni, bpsspiritualife","Bps, bps, BPS, berkeley",476
The Hockaday School,"annabellagriggs, hockadayhypewomen, thehockadayschool, hockadayathletics, hockascience, hockadaysocialimpact","hday, Hockaday, ths",363
Bellarmine College Prep,"bcplacrosse, bcp.polevault, bellarmine_ccc, bcprugby, bcp.redcrossclub, thebellarminebellarman","BPS, bps, bellarmine",555
Lynbrook HS,,,
Lowell HS,"lowell_bsu, lowelltech, lhsfilam, lowellhsbsu, thelowell, lowellhistoryclub, lhslatinclub","lhs, LHS, Lowell",846
Sierra Canyon School,,,
Choate Rosemarry Hall,,,
Shree Saraswathi Vidhya Mandheer,,,
Lambert High School,,LHS,
