Jones College Prep HS,,
Adlai E Stevenson HS,,
Hinsdale Central HS,,
Vernon Hills HS,,
Neuqua Valley HS,,
New Trier Township HS,newtrierhs_santa,"NT, NTHS"
William Fremd HS,fremdhs_santa,"wfhs, "
John Hersey HS,,
Lake Forest HS,,
Deerfield HS,,
Glenbrook North HS,,
Libertyville HS,,
Naperville Central HS,,
Barrington HS,,
Maine South HS,,
Munster HS,,
Prospect HS,,
Naperville North HS,,
Glenbard West HS,,
Highland Park HS,,
Metea Valley HS,,
Oak Park and River Forest HS,,
Phillips Academy Andover,,
Phillips Exeter Academy,"phillipsexeter, phillipsexeterdance, phillipsacademy, exetergirlslacrosse, exeterfieldhockey, pea_lib","pea, Philips Exeter, PEA"
Harvard-Westlake School,"hwgirslwaterpolo, hw_surfclub, hwfanatics, hwfieldhockey, hwspirit, hwbaseball","Harvard-Westlake , harward-westlake, HW, hw"
The Pingry School,"pg_waterpolo, __pg.xc__, pingry_summer, pingry_outing_club, pingryschoolhonorboard, pingryjournalclub","Pingry, pingry, tps"
St. John's School,,
Rye Country Day School,"ryecountryday, ryecountrydayschool, rcdsfilmclub, rcdsprom2025, rye_country_day_mun, rcdsathletics","RCDS, rcds, Rye Country Day School, Rye Country"
Horace Mann School,"horace_mann_trojans, hmalumni, hmcstigers6, horacemannschoolnyc, horacemanncoco, horacemannlions","Horace Mann, horace mann, hm, HM"
Trinity School,"trinityschoolnyc, voice_of_trinity, trinityschoolcollegeoffice","trinity, Trinity, nyc, ts"
Sidwell Friends School,"sidwellfriends, sidwell_tf, sidwellsummer, sidwellfriendslibrary, sfsquackers","Sidwell, Sfs, sidwell"
The John Cooper School,"cooper_dupuis21, thejohncooperschoolclumni, jcdragonxc, jcs_boysbball, cooper_varsity_boys_soccer, jcs.finearts, andres_valenzuelav","jcs, JCS, Jcs, cooper"
Berkeley Preparatory School,"bpsredcrossclub, berkxctf, bps_rowing, alessandraverfailie, bps_varcity_soccer, berkelyprepalumni, bpsspiritualife","Bps, bps, BPS, berkeley"
The Hockaday School,"annabellagriggs, hockadayhypewomen, thehockadayschool, hockadayathletics, hockascience, hockadaysocialimpact","hday, Hockaday, ths"
Bellarmine College Prep,"bcplacrosse, bcp.polevault, bellarmine_ccc, bcprugby, bcp.redcrossclub, thebellarminebellarman","BPS, bps, bellarmine"
Lynbrook HS,,
Lowell HS,"lowell_bsu, lowelltech, lhsfilam, lowellhsbsu, thelowell, lowellhistoryclub, lhslatinclub","lhs, LHS, Lowell"
Sierra Canyon School,,
Choate Rosemarry Hall,,
Shree Saraswathi Vidhya Mandheer,,
Lambert High School,,LHS
